2026-06-18 01:50:21  No data posted with HTTP POST.
2026-06-18 02:07:48  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('74.29', '1.002369', '3.44', '19.95', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '21:0:1', '987', '0', '0', '99', '13:58:17', '5:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:08:18  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('72.47', '1.002339', '7.86', '19.50', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:8:19', '1125', '0', '0', '98', '13:58:46', '5:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:08:48  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('71.96', '1.002300', '14.55', '19.62', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:8:49', '1338', '0', '0', '98', '13:59:16', '5:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:09:18  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('71.68', '1.002230', '21.94', '19.69', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:9:19', '1311', '0', '0', '99', '13:59:46', '5:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:09:48  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('71.44', '1.002221', '26.20', '19.74', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:9:49', '1239', '0', '0', '99', '14:0:16', '5:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:10:20  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('71.28', '1.002260', '28.89', '19.77', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:10:18', '1058', '0', '0', '99', '14:0:46', '5:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:10:47  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('71.30', '1.002369', '29.82', '19.78', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:10:48', '1930', '0', '0', '99', '14:1:15', '5:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:11:16  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('71.12', '1.002467', '31.49', '19.83', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:11:14', '905', '0', '0', '99', '14:1:44', '5:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:11:45  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('71.01', '1.002556', '32.38', '19.86', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:11:43', '1232', '0', '0', '99', '14:2:13', '5:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:12:15  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('70.95', '1.002586', '32.68', '19.88', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:12:13', '1415', '0', '0', '99', '14:2:43', '5:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:13:42  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('73.12', '1.002655', '18.42', '20.31', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '21:0:1', '1824', '0', '0', '100', '20:6:33', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
